taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00017_e0,-0.00404423252862504,0.0074699008681539175,cpd00017_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00092_e0,-0.005785531879008062,0.0074699008681539175,cpd00092_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00205_e0,-0.0003357832525339551,0.0074699008681539175,cpd00205_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00161_e0,-0.02832406988158615,0.0074699008681539175,cpd00161_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00067_e0,0.801708084990821,0.0074699008681539175,cpd00067_e0,export
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00644_e0,-0.00047557154703090077,0.0074699008681539175,cpd00644_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00132_e0,-0.007923502132441914,0.0074699008681539175,cpd00132_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00048_e0,-0.0003357832525339551,0.0074699008681539175,cpd00048_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00023_e0,-0.015456561418461329,0.0074699008681539175,cpd00023_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00119_e0,-0.004377625487536972,0.0074699008681539175,cpd00119_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00027_e0,-0.01489574152535144,0.0074699008681539175,cpd00027_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00082_e0,-0.5471744831021023,0.0074699008681539175,cpd00082_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00204_e0,0.00023778577351543618,0.0074699008681539175,cpd00204_e0,export
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00122_e0,-0.009582055951980455,0.0074699008681539175,cpd00122_e0,import
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd23430_e0,1.6222640753576965,0.0074699008681539175,cpd23430_e0,export
S130C78_Erysipelatoclostridium_ramosum,ERR1620290_sub,1e-06,EX_cpd00028_e0,-0.00023778577351543618,0.0074699008681539175,cpd00028_e0,import
S143C104_Enterocloster_aldenensis,ERR1620290_sub,1e-06,EX_cpd00012_e0,-0.065220319533001,0.001623212800493889,cpd00012_e0,import
